quarter,pdf_page,table_row,category,code,name,original_budget,final_budget,quarter_performance,ytd_performance,balance
3,25,,overhead,052101300100,Drugs Management & Consumable Supply Agency (Drugs Management Agency),128240000.00,128240000.00,35000000.00,35900000.00,92340000.00
3,25,,overhead,052101400100,Kano State Centre For Disesase Control & Prevention -,0,24000000.00,4500000.00,4500000.00,19500000.00
3,28,,capital,052100000000,Ministry of Health,65712121129.98,65712121129.98,4906088381.05,7937156757.52,57774964372.46
3,28,,capital,052100100100,Ministry of Health,40270755456.78,40570755456.78,3955985708.67,6262756705.42,34307998751.36
3,28,,capital,052100300100,H.M.B. ( HQ and Zones),1247855750.00,1247855750.00,0,608019886.00,639835864.00
3,28,,capital,052100300200,Muhammadu Abdullahi Wase Specialist Hospital (Zone 7 MAWSH),729004824.60,729004824.60,0,43825000.00,685179824.60
3,28,,capital,052100500100,Primary Health Care Mgt. Board (PHCMB),9022148945.55,9322148945.55,950102672.38,1022555166.10,8299593779.45
3,28,,capital,052100600100,State Agency for Control of Aids,1012077183.00,1012077183.00,0,0,1012077183.00
3,28,,capital,052100800100,CONTRIBUTORY HEALTH MGT,7792820180.48,7192820180.48,0,0,7192820180.48
3,28,,capital,052100900100,KHETFUND,3950279000.00,3950279000.00,0,0,3950279000.00
3,28,,capital,052101100100,Private Health Institutions Management Agency,162469250.00,162469250.00,0,0,162469250.00
3,28,,capital,052101300100,Drugs Management & Consumable Supply Agency (Drugs Management Agency),1524710539.57,1524710539.57,0,0,1524710539.57
4,18,,total,052100000000,Ministry of Health,109263061129.98,109751402976.96,34728358809.23,63060220047.96,46691182929.00
4,18,,total,052100100100,Ministry of Health,44754511456.78,45121853303.76,15074341006.01,23378442147.62,21743411156.14
4,18,,total,052100300100,H.M.B. ( HQ and Zones),35472177750.00,35472177750.00,5743299484.76,24313341198.05,11158836551.95
4,18,,total,052100300200,Muhammadu Abdullahi Wase Specialist Hospital (Zone 7 MAWSH),1414953824.60,1414953824.60,0,43825000.00,1371128824.60
4,18,,total,052100400100,College of Nursing & Mid-Wifery Board,140355000.00,140355000.00,1000000.00,7000000.00,133355000.00
4,18,,total,052100400200,School of Nursing Kano,12520000.00,12520000.00,0,2000000.00,10520000.00
4,18,,total,052100400300,School of Basic Mid Wifery Kano,25620000.00,25620000.00,0,4500000.00,21120000.00
4,18,,total,052100400400,School of Basic Mid Wifery Dambatta,22100000.00,22100000.00,0,3000000.00,19100000.00
4,18,,total,052100400500,School of Post Basic Mid Wifery Gezawa,12920000.00,12920000.00,0,3200000.00,9720000.00
4,18,,total,052100400600,School of Nursing Madobi,34300000.00,34300000.00,0,3000000.00,31300000.00
4,18,,total,052100400700,School of Post Basic Anesthesia,13750000.00,13750000.00,0,3200000.00,10550000.00
4,18,,total,052100400800,School of Basic Mid Wifery Gwarzo,25620000.00,25620000.00,0,3200000.00,22420000.00
4,18,,total,052101000100,KANO STATE COLLEGE OF HEALTH SCIENCE & TECHNOLOGY HEAD QUARTER,43288000.00,43288000.00,0,1800000.00,41488000.00
4,18,,total,052102000100,School of Hygiene,6250000.00,6250000.00,0,0,6250000.00
4,18,,total,052103000100,School of Health Technology Bebeji,25238000.00,25238000.00,0,4800000.00,20438000.00
4,18,,total,052104000100,School Health Technology Kano,101500000.00,101500000.00,0,3000000.00,98500000.00
4,18,,total,052100500100,Primary Health Care Mgt. Board (PHCMB),11409260945.55,11709260945.55,6991547718.47,8321341102.29,3387919843.26
4,18,,total,052100600100,State Agency for Control of Aids,1036077183.00,1036077183.00,340587600.00,343587600.00,692489583.00
4,18,,total,052100800100,CONTRIBUTORY HEALTH MGT,8749420180.48,8546420180.48,4355567000.00,4355567000.00,4190853180.48
4,18,,total,052100900100,KHETFUND,4089279000.00,4089279000.00,2221416000.00,2221416000.00,1867863000.00
4,18,,total,052101100100,Private Health Institutions Management Agency,220969250.00,220969250.00,0,3000000.00,217969250.00
